Language	System	Language Family	Language Branch	Language Subgroup	Writing System	Script/Alphabet	Name
en	QALL-ME	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	N. Aggarwal	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	QAKiS	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	SWSNL	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	UTQA	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	AMUSE	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	WDAqua-core0	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	UDepLambda	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	MuG-QA	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	WDAqua-core1	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	LAMA	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	Platypus	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	QAnswer	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	DeepPavlov	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	Y. Zhou	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	A. Perevalov	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	Tiresias	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	DeepPavlov 2023	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	XSemPLR	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
en	CLRN	Indo-European	Germanic	North Sea Germanic	Alphabetical	Latin	English
de	QALL-ME	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	N. Aggarwal	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	AMUSE	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	WDAqua-core0	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	UDepLambda	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	MuG-QA	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	WDAqua-core1	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	QAnswer	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	Y. Zhou	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	A. Perevalov	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
de	Lingua Franca	Indo-European	Germanic	Elbe Germanic	Alphabetical	Latin	German
es	QALL-ME	Indo-European	Italic	Romance	Alphabetical	Latin	Spanish
es	UTQA	Indo-European	Italic	Romance	Alphabetical	Latin	Spanish
es	AMUSE	Indo-European	Italic	Romance	Alphabetical	Latin	Spanish
es	UDepLambda	Indo-European	Italic	Romance	Alphabetical	Latin	Spanish
es	WDAqua-core1	Indo-European	Italic	Romance	Alphabetical	Latin	Spanish
